Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_1206,70.000000,-131.000000,270.000000,top
C2,100n,C_0603,73.000000,-131.000000,270.000000,top
C3,100n,C_0603,75.000000,-112.000000,180.000000,top
C4,100n,C_0603,69.500000,-117.600000,90.000000,top
C5,100n,C_0603,83.000000,-132.000000,90.000000,top
C6,10u,C_1206,85.000000,-132.000000,90.000000,top
D1,D,D_SOD-123,81.000000,-106.000000,0.000000,top
D2,D,D_SOD-123,81.000000,-109.000000,180.000000,top
D3,TX,LED_0603_1608Metric,104.300000,-124.100000,0.000000,top
D4,RX,LED_0603_1608Metric,91.412500,-118.300000,0.000000,top
D5,PWR5,LED_0603_1608Metric,61.920000,-137.000000,0.000000,top
D6,PWR3,LED_0603_1608Metric,98.300000,-131.600000,0.000000,top
Q1,PUMX1,SOT-363_SC-70-6,83.200000,-122.900000,0.000000,top
Q2,Q_PNP_BEC,SOT-23,82.550000,-114.000000,0.000000,top
Q3,Q_PNP_BEC,SOT-23,82.550000,-118.000000,0.000000,top
R1,10k,R_0603,78.000000,-112.000000,180.000000,top
R2,10k,R_0603,86.000000,-106.000000,0.000000,top
R3,1k,R_0603,86.550000,-115.000000,0.000000,top
R4,1k,R_0603,86.550000,-119.000000,0.000000,top
R5,1k,R_0603,86.550000,-113.000000,180.000000,top
R6,1k,R_0603,86.550000,-117.000000,180.000000,top
R7,1k,R_0603,65.000000,-137.000000,180.000000,top
R8,1k,R_0603,101.300000,-116.000000,0.000000,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,78.000000,-133.000000,90.000000,top
U2,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,75.000000,-119.000000,270.000000,top
