Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603,41.400000,-39.400000,0.000000,top
C2,10u,C_1206,120.000000,-42.200000,0.000000,top
C3,100n,C_0603,116.000000,-42.600000,180.000000,top
C4,100n,C_0603,112.200000,-42.600000,180.000000,top
C5,10u,C_1206,122.600000,-46.000000,180.000000,top
C6,100n,C_0603,67.000000,-26.200000,0.000000,top
C7,100n,C_0603,129.400000,-57.600000,0.000000,top
D1,D,D_SOD-123,124.000000,-42.000000,90.000000,top
D2,LED,LED_0603_1608Metric,126.800000,-44.600000,180.000000,top
Q1,IRLML6344,SOT-23,35.000000,-55.000000,0.000000,top
Q2,IRLML6344,SOT-23,31.200000,-55.000000,0.000000,top
Q3,IRLML6344,SOT-23,27.400000,-55.000000,0.000000,top
Q4,IRLML6344,SOT-23,23.600000,-55.000000,0.000000,top
Q5,IRLML6344,SOT-23,19.800000,-55.000000,0.000000,top
Q6,IRLML6344,SOT-23,119.540000,-55.050000,0.000000,top
Q7,IRLML6344,SOT-23,115.740000,-55.050000,0.000000,top
Q8,IRLML6344,SOT-23,111.940000,-55.050000,0.000000,top
Q9,IRLML6344,SOT-23,108.140000,-55.050000,0.000000,top
Q10,IRLML6344,SOT-23,104.340000,-55.050000,0.000000,top
Q11,IRLML6344,SOT-23,101.700000,-43.030000,0.000000,top
Q12,IRLML6344,SOT-23,97.900000,-43.030000,0.000000,top
Q13,IRLML6344,SOT-23,94.100000,-43.030000,0.000000,top
Q14,IRLML6344,SOT-23,90.300000,-43.030000,0.000000,top
Q15,IRLML6344,SOT-23,86.500000,-43.030000,0.000000,top
Q16,IRLML6344,SOT-23,68.660000,-43.050000,0.000000,top
Q17,IRLML6344,SOT-23,64.860000,-43.050000,0.000000,top
Q18,IRLML6344,SOT-23,61.060000,-43.050000,0.000000,top
Q19,IRLML6344,SOT-23,57.260000,-43.050000,0.000000,top
Q20,IRLML6344,SOT-23,53.460000,-43.050000,0.000000,top
Q21,IRLML6344,SOT-23,54.260000,-55.050000,0.000000,top
Q22,IRLML6344,SOT-23,50.460000,-55.050000,0.000000,top
Q23,IRLML6344,SOT-23,46.660000,-55.050000,0.000000,top
Q24,IRLML6344,SOT-23,42.860000,-55.050000,0.000000,top
Q25,IRLML6344,SOT-23,39.060000,-55.050000,0.000000,top
R1,4.7k,R_0603,130.600000,-50.200000,0.000000,top
R2,4.7k,R_0603,127.600000,-50.200000,180.000000,top
R3,100,R_0603,35.400000,-57.800000,0.000000,top
R4,10k,R_0603,35.400000,-59.600000,0.000000,top
R5,100,R_0603,31.600000,-57.800000,0.000000,top
R6,10k,R_0603,31.600000,-59.600000,0.000000,top
R7,100,R_0603,27.800000,-57.800000,0.000000,top
R8,10k,R_0603,27.800000,-59.600000,0.000000,top
R9,100,R_0603,23.600000,-57.800000,0.000000,top
R10,10k,R_0603,23.600000,-59.600000,0.000000,top
R11,100,R_0603,19.800000,-57.800000,0.000000,top
R12,10k,R_0603,19.800000,-59.600000,0.000000,top
R13,100,R_0603,119.940000,-57.850000,0.000000,top
R14,10k,R_0603,119.940000,-59.650000,0.000000,top
R15,100,R_0603,116.000000,-57.850000,0.000000,top
R16,10k,R_0603,116.000000,-59.650000,0.000000,top
R17,100,R_0603,112.340000,-57.850000,0.000000,top
R18,10k,R_0603,112.340000,-59.650000,0.000000,top
R19,100,R_0603,108.140000,-57.850000,0.000000,top
R20,10k,R_0603,108.140000,-59.650000,0.000000,top
R21,100,R_0603,104.340000,-57.850000,0.000000,top
R22,10k,R_0603,104.340000,-59.650000,0.000000,top
R23,100,R_0603,102.100000,-45.830000,0.000000,top
R24,10k,R_0603,102.100000,-47.630000,0.000000,top
R25,100,R_0603,98.200000,-45.830000,0.000000,top
R26,10k,R_0603,98.200000,-47.630000,0.000000,top
R27,100,R_0603,94.500000,-45.830000,0.000000,top
R28,10k,R_0603,94.500000,-47.630000,0.000000,top
R29,100,R_0603,90.300000,-45.830000,0.000000,top
R30,10k,R_0603,90.300000,-47.630000,0.000000,top
R31,100,R_0603,86.500000,-45.830000,0.000000,top
R32,10k,R_0603,86.500000,-47.630000,0.000000,top
R33,100,R_0603,69.060000,-45.850000,0.000000,top
R34,10k,R_0603,69.060000,-47.650000,0.000000,top
R35,100,R_0603,65.200000,-45.850000,0.000000,top
R36,10k,R_0603,65.200000,-47.650000,0.000000,top
R37,100,R_0603,61.460000,-45.850000,0.000000,top
R38,10k,R_0603,61.460000,-47.650000,0.000000,top
R39,100,R_0603,57.260000,-45.850000,0.000000,top
R40,10k,R_0603,57.260000,-47.650000,0.000000,top
R41,100,R_0603,53.460000,-45.850000,0.000000,top
R42,10k,R_0603,53.460000,-47.650000,0.000000,top
R43,100,R_0603,54.660000,-57.850000,0.000000,top
R44,10k,R_0603,54.660000,-59.650000,0.000000,top
R45,100,R_0603,50.660000,-57.850000,0.000000,top
R46,10k,R_0603,50.660000,-59.650000,0.000000,top
R47,100,R_0603,46.800000,-58.000000,0.000000,top
R48,10k,R_0603,46.800000,-59.650000,0.000000,top
R49,100,R_0603,42.860000,-57.850000,0.000000,top
R50,10k,R_0603,42.860000,-59.650000,0.000000,top
R51,100,R_0603,39.060000,-57.850000,0.000000,top
R52,10k,R_0603,39.060000,-59.650000,0.000000,top
R53,1k,R_0603,126.800000,-42.200000,180.000000,top
U1,PCA9685PW,TSSOP-28_4.4x9.7mm_P0.65mm,35.800000,-43.800000,0.000000,top
U3,PCA9685PW,TSSOP-28_4.4x9.7mm_P0.65mm,61.400000,-30.600000,0.000000,top
