Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_1206,78.000000,-125.500000,270.000000,top
C2,100n,C_0603,75.000000,-124.000000,90.000000,top
C3,100n,C_0603,63.000000,-129.000000,270.000000,top
C4,10u,C_0805,74.800000,-128.000000,270.000000,top
C5,100n,C_0603,64.200000,-134.800000,90.000000,top
C6,100n,C_0603,64.200000,-137.800000,90.000000,top
C7,100n,C_0603,68.000000,-132.800000,0.000000,top
C8,100n,C_0603,68.600000,-140.800000,180.000000,top
C9,100n,C_0603,74.200000,-134.600000,270.000000,top
C10,10u,C_0805,63.000000,-125.000000,90.000000,top
C11,10u,C_0805,71.400000,-132.800000,180.000000,top
D1,D,D_SOD-123F,78.000000,-120.000000,90.000000,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,69.000000,-127.000000,0.000000,top
U2,MAX3232,SSOP-16_4.4x5.2mm_Pitch0.65mm,69.500000,-137.000000,270.000000,top
