Comment,Designator,Footprint,LCSC
"100n","C1,C2,C4,C5,C10,C12,C13,C15,C18,C20,C21,C22","Capacitors_SMD:C_0603",""
"10u","C11","Capacitors_SMD:C_0603",""
"2.2u","C9,C14,C16,C17,C23","Capacitors_SMD:C_0603",""
"22p","C19","Capacitors_SMD:C_0603",""
"CP","C24","Capacitors_ThroughHole:CP_Radial_D8.0mm_P3.50mm",""
"1u","C3","Capacitors_SMD:C_0603",""
"10n","C6","Capacitors_SMD:C_0603",""
"10u","C7","Capacitors_SMD:C_0805",""
"100n","C8","Capacitors_SMD:C_0805",""
"D","D1","Diodes_SMD:D_SMA",""
"D","D2,D3","Diodes_SMD:D_SOD-123","C8598"
"BAT54C","D4","Package_TO_SOT_SMD:SOT-23",""
"LED","D5","LEDs:LED_D3.0mm_FlatTop",""
"MountingHole","H1,H2","Mounting_Holes:MountingHole_4.3mm_M4",""
"Conn_01x04_Female","J1","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"GND","J10","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"PWR","J2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"OLED_128_32","J3","footprints:SSD1306-0.91-OLED-4pin-128x32",""
"BUT1","J4","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"BUT2","J5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"MODBUS","J6","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"RX","J7","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J0011D01BNL","J8","eec:Pulse-J0011D01BNL-0-0-0",""
"TX","J9","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"L","L1","Resistors_SMD:R_0603_HandSoldering",""
"UMH3N","Q1","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
"Q_NPN_BEC_BRT","Q2","Package_TO_SOT_SMD:SOT-23",""
"10k","R1,R2,R3,R6,R9,R10,R15","Resistors_SMD:R_0603",""
"2.2k","R11,R12,R13,R14,R16,R17,R18,R19","Resistors_SMD:R_0603",""
"49.9","R20,R22,R23,R24","Resistors_SMD:R_0603",""
"12.1k","R21","Resistors_SMD:R_0603",""
"330","R25,R26","Resistors_SMD:R_0603",""
"4.7k","R4,R5","Resistors_SMD:R_0603",""
"1k","R7","Resistors_SMD:R_0603",""
"ESP32-WROOM-32","U1","RF_Module:ESP32-WROOM-32",""
"CH340C","U2","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C14267"
"MAX3483","U3,U6,U8","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"R-78HB3.3-0.5","U4","Converter_DCDC:Converter_DCDC_RECOM_R-78HB-0.5_THT",""
"NX3008PBKS","U5","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm",""
"LAN8710A","U7","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm_ThermalVias",""
